AARON	0.24	 350,151	77
ABIGAIL	0.025	 37,952	520
ADAM	0.259	 377,871	69
ADELA	0.014	 21,253	723
ADELINE	0.018	 27,326	634
ADRIANA	0.025	 37,952	517
ALBERTO	0.053	 77,325	270
ALEX	0.115	 167,781	156
ALEXANDRA	0.039	 59,206	396
ALEXIS	0.03	 45,543	457
ALFREDA	0.009	 13,663	913
ALICE	0.357	 541,958	51
ALINE	0.011	 16,699	845
ALISHA	0.027	 40,988	502
ALISSA	0.011	 16,699	866
ALLEN	0.174	 253,859	114
AMY	0.451	 684,659	32
ANASTASIA	0.01	 15,181	907
ANDREA	0.236	 358,269	81
ANDY	0.049	 71,489	284
ANGELA	0.468	 710,466	29
ANGELICA	0.039	 59,206	390
ANGELINE	0.017	 25,808	650
ANGELITA	0.009	 13,663	943
ANITA	0.162	 245,931	136
ANNA	0.44	 667,960	33
ANNE	0.228	 346,125	85
ANNIE	0.216	 327,908	97
ANTHONY	0.721	 1,051,911	22
ANTONIA	0.035	 53,133	426
APRIL	0.154	 233,786	142
ARLENE	0.094	 142,701	225
ARMANDO	0.058	 84,620	258
ARTHUR	0.335	 488,752	48
ASHLEY	0.303	 459,981	63
AUDREY	0.127	 192,798	173
AURELIA	0.01	 15,181	898
AUTUMN	0.017	 25,808	660
AVIS	0.013	 19,735	763
BARBRA	0.015	 22,771	716
BEATRICE	0.13	 197,352	170
BECKY	0.066	 100,194	287
BEN	0.078	 113,799	212
BENJAMIN	0.27	 393,920	66
BERNADINE	0.014	 21,253	725
BERNICE	0.128	 194,316	172
BERTHA	0.143	 217,087	156
BERYL	0.009	 13,663	948
BETH	0.11	 166,990	199
BETSY	0.034	 51,615	430
BETTIE	0.023	 34,916	557
BOBBY	0.223	 325,348	83
BONNIE	0.223	 338,534	88
BRADLEY	0.159	 231,975	128
BRANDIE	0.008	 12,145	989
BRANDY	0.07	 106,266	276
BRENT	0.09	 131,307	195
BRIAN	0.736	 1,073,795	20
BRIANNA	0.014	 21,253	738
BRIDGETT	0.009	 13,663	942
BRIGITTE	0.009	 13,663	980
BRITTANY	0.117	 177,617	187
BROOKE	0.039	 59,206	397
BRYAN	0.19	 277,203	102
CAITLIN	0.023	 34,916	560
CALVIN	0.115	 167,781	155
CANDACE	0.051	 77,423	343
CANDY	0.022	 33,398	575
CAREY	0.009	 13,663	915
CARL	0.346	 504,801	47
CARLENE	0.012	 18,217	813
CARLY	0.01	 15,181	874
CARMELLA	0.012	 18,217	804
CAROL	0.565	 857,721	18
CAROLINA	0.021	 31,880	595
CAROLYN	0.385	 584,465	42
CASANDRA	0.009	 13,663	941
CECILE	0.019	 28,844	610
CELESTE	0.025	 37,952	521
CELINA	0.008	 12,145	1000
CHANDRA	0.014	 21,253	756
CHARLENE	0.097	 147,255	220
CHARLIE	0.09	 131,307	197
CHARMAINE	0.011	 16,699	830
CHELSEA	0.038	 57,687	407
CHERIE	0.022	 33,398	581
CHERYL	0.315	 478,199	59
CHRIS	0.024	 36,434	528
CHRISTA	0.023	 34,916	564
CHRISTIAN	0.01	 15,181	903
CHRISTIE	0.034	 51,615	431
CHRISTINE	0.382	 579,911	43
CHRISTY	0.077	 116,893	260
CINDY	0.192	 291,473	113
CLARA	0.153	 232,268	144
CLARENCE	0.197	 287,415	93
CLARISSA	0.014	 21,253	744
CLAUDETTE	0.017	 25,808	656
CLAUDINE	0.011	 16,699	864
CLEO	0.021	 31,880	596
CLIFTON	0.05	 72,948	279
CLYDE	0.095	 138,601	187
COLEEN	0.009	 13,663	917
CORNELIA	0.015	 22,771	709
CORY	0.068	 99,209	229
CRAIG	0.206	 300,546	90
CRYSTAL	0.207	 314,245	102
CYNTHIA	0.469	 711,985	28
DALE	0.016	 24,289	696
DAN	0.101	 147,355	179
DANIEL	0.974	 1,421,028	12
DANNY	0.19	 277,203	101
DARCY	0.012	 18,217	802
DARLENE	0.142	 215,569	157
DARREN	0.064	 93,374	243
DARYL	0.05	 72,948	281
DAVID	2.363	 3,447,525	6
DEAN	0.104	 151,732	173
DEANN	0.008	 12,145	988
DINA	0.022	 33,398	583
DIXIE	0.028	 42,507	481
DOLLY	0.016	 24,289	692
DOMINIQUE	0.016	 24,289	672
DONA	0.014	 21,253	752
DONNA	0.583	 885,047	17
DOREEN	0.035	 53,133	422
DOROTHEA	0.021	 31,880	587
DORTHY	0.025	 37,952	527
DUANE	0.077	 112,340	215
DWAYNE	0.059	 86,079	256
EARL	0.193	 281,580	98
EARLINE	0.014	 21,253	740
EBONY	0.027	 40,988	492
EDDIE	0.144	 210,090	136
EDITH	0.179	 271,738	117
EDUARDO	0.047	 68,571	296
EDWIN	0.148	 215,926	134
EFFIE	0.024	 36,434	529
ELAINE	0.173	 262,630	127
ELEANOR	0.15	 227,714	148
ELINOR	0.012	 18,217	798
ELISABETH	0.023	 34,916	558
ELIZA	0.015	 22,771	718
ELLA	0.101	 153,327	210
EMILY	0.208	 315,763	99
ENID	0.009	 13,663	930
ERIC	0.544	 793,675	33
ERICKA	0.014	 21,253	753
ERIKA	0.061	 92,604	298
ERMA	0.041	 62,242	383
ERNEST	0.215	 313,677	86
ESMERALDA	0.013	 19,735	779
ESSIE	0.029	 44,025	474
ESTELLA	0.024	 36,434	541
ESTER	0.019	 28,844	620
ETHEL	0.174	 264,148	125
EUGENE	0.23	 335,561	80
EULA	0.033	 50,097	438
EVA	0.159	 241,376	140
