1	 Wal-Mart	 Bentonville, Ark.	 $316,083,000	 2.6%	 $453,976,000	 69.6%	 4,423	 1.4%
2	 Kroger	 Cincinnati	 $85,491,000	 9.1%	 $85,491,000	 100.0%	 3,574	 -1.0%
3	 Target	 Minneapolis	 $68,466,000	 4.1%	 $68,466,000	 100.0%	 1,763	 0.7%
4	 Walgreen	 Deerfield, Ill.	 $66,330,000	 8.3%	 $68,233,000	 97.2%	 7,651	 2.6%
5	 Costco	 Issaquah, Wash.	 $64,221,000	 8.9%	 $89,054,000	 72.1%	 425	 3.2%
6	 The Home Depot	 Atlanta	 $62,075,000	 3.1%	 $70,391,000	 88.2%	 1,963	 -0.2%
7	 CVS Caremark	 Woonsocket, R.I.	 $59,688,000	 3.9%	 $59,786,000	 99.8%	 7,345	 1.8%
8	 Lowe's	 Mooresville, N.C.	 $49,282,000	 2.3%	 $50,207,000	 98.2%	 1,712	 -0.6%
9	 Best Buy	 Richfield, Minn.	 $37,551,000	 1.2%	 $50,705,000	 74.1%	 1,443	 10.0%
10	 Safeway	 Pleasanton, Calif.	 $36,923,000	 5.6%	 $41,884,000	 88.2%	 1,453	 -0.7%
11	 McDonald's	 Oak Brook, Ill.	 $34,172,000	 5.5%	 $85,941,000	 39.8%	 14,087	 0.5%
12	 Sears Holdings	 Hoffman Estates, Ill.	 $33,837,000	 -4.3%	 $39,365,000	 86.0%	 3,489	 0.1%
13	 SUPERVALU	 Eden Prairie, Minn.	 $29,297,000	 -3.6%	 $29,297,000	 100.0%	 2,466	 1.6%
14	 Publix	 Lakeland, Fla.	 $26,967,000	 7.6%	 $26,967,000	 100.0%	 1,198	 -0.9%
15	 Amazon.com	 Seattle	 $26,397,000	 42.5%	 $47,715,000	 55.3%	 -	 na
16	 Macy's	 Cincinnati	 $26,344,000	 5.7%	 $26,405,000	 99.8%	 840	 -0.8%
17	 Rite Aid	 Camp Hill, Pa.	 $25,256,000	 0.6%	 $25,256,000	 100.0%	 4,664	 -1.1%
18	 Ahold USA / Royal Ahold	 Washington, D.C.	 $25,074,000	 6.6%	 $63,066,000	 39.8%	 756	 0.7%
19	 Delhaize America	 Salisbury, N.C.	 $19,230,000	 2.2%	 $29,400,000	 65.4%	 1,650	 1.4%
20	 Kohl's	 Menomonee Falls, Wis.	 $18,804,000	 2.2%	 $18,804,000	 100.0%	 1,127	 4.1%
21	 Apple Stores / iTunes	 Cupertino, Calif.	 $17,825,000	 36.9%	 $18,418,000	 96.8%	 245	 5.2%
22	 TJX	 Framingham, Mass.	 $17,386,000	 3.8%	 $23,267,000	 74.7%	 2,212	 0.3%
23	 J.C. Penney	 Plano, Texas	 $17,146,000	 -2.9%	 $17,238,000	 99.5%	 1,105	 0.5%
24	 True Value	 Chicago	 $17,135,000	 2.4%	 $17,135,000	 100.0%	 4,650	 -1.1%
25	 YUM! Brands	 Louisville, Ky.	 $17,100,000	 0.6%	 $32,380,000	 52.8%	 18,050	 -1.0%
26	 H-E-B	 San Antonio	 $16,820,000	 11.9%	 $17,976,000	 93.6%	 308	 5.1%
27	 Meijer	 Grand Rapids, Mich.	 $16,603,000	 7.1%	 $16,603,000	 100.0%	 197	 0.0%
